06489J91J00X  C1995 05 28.85436 14 49 54.10 +04 37 00.0          14.4 Rz25371540
06489J91J00X  C1995 05 28.85610 14 49 54.70 +04 37 09.2          14.4 Rz25371540
06489J91J00X  C1995 05 28.85804 14 49 55.68 +04 37 20.1          14.0 Rz25258117
06489J91J00X  C1995 05 28.86582 14 49 58.41 +04 38 02.8          14.1 Rz25258117
06489J91J00X  C1995 05 28.87165 14 49 59.89 +04 38 37.9                 25259118
06489J91J00X  C1995 05 28.87412 14 50 01.36 +04 38 48.5          14.3 Rz25259117
06489J91J00X  C1995 05 28.87632 14 50 02.08 +04 39 00.8          14.4 Rz25259117
06489J91J00X  C1995 05 28.87922 14 50 03.14 +04 39 16.7          14.3 Rz25259117
06489J91J00X  C1995 05 28.88164 14 50 04.05 +04 39 29.2          14.3 Rz25259117
06489J91J00X  C1995 05 28.89351 14 50 08.28 +04 40 33.7          13.8 Rz25259117
06489J91J00X  C1995 05 28.89575 14 50 09.06 +04 40 47.5          13.9 Rz25259117
06489J91J00X  C1995 05 28.89802 14 50 09.87 +04 40 58.9          13.9 Rz25259117
06489J91J00X  C1995 05 28.90023 14 50 10.70 +04 41 13.1          13.8 Rz25259117
06489J91J00X  C1995 05 28.90251 14 50 11.45 +04 41 26.2          13.9 Rz25259117
06489J91J00X  C1995 05 28.90468 14 50 12.39 +04 41 36.8          14.5 Rz25259117
06489J91J00X  C1995 05 28.92005 14 50 18.16 +04 43 05.8          14.9 R 25265476
06489J91J00X  C1995 05 28.92407 14 50 19.54 +04 43 28.8          14.9 R 25265476
06489J91J00X  C1995 05 28.93159 14 50 21.79 +04 44 00.6          15.0 R 25364113
06489J91J00X  C1995 05 28.96672 14 50 34.54 +04 47 14.3          14.6 R 25364113
06489J91J00X 2A1995 05 30.25278 15 00 00.97 +06 56 39.9                 25274675
06489J91J00X 2A1995 05 30.25694 15 00 02.33 +06 57 04.7                 25274675
06489J91J00X 2A1995 05 30.28628 15 00 15.54 +07 00 17.9                 25274675
06489J91J00X 2A1995 05 30.29045 15 00 16.49 +07 00 39.2                 25274675
06489J91J00X  C1995 05 31.13389 15 07 37.16 +08 37 38.3                z25290801
06489J91J00X  C1995 05 31.14138 15 07 41.01 +08 38 33.2                z25290801
06489J91J00X  C1995 05 31.22153 15 08 24.78 +08 48 17.1          14.3 Rz25289750
06489J91J00X  C1995 05 31.22917 15 08 28.74 +08 49 13.4          14.5 Rz25289750
06489J91J00X  C1995 05 31.23750 15 08 33.09 +08 50 14.9          14.3 Rz25289750
06489J91J00X  C1995 05 31.25904 15 08 44.35 +08 52 53.7          14.1 Rz25289750
06489J91J00X  C1995 05 31.26528 15 08 47.63 +08 53 39.8          14.1 Rz25289750
06489J91J00X  C1995 05 31.27153 15 08 50.92 +08 54 26.1          14.1 Rz25289750
06489J91J00X  C1995 05 31.28002 15 08 56.46 +08 56 03.3                i25288711
06489J91J00X  C1995 05 31.28194 15 08 56.43 +08 55 43.0          14.2 Rz25289750
06489J91J00X  C1995 05 31.28306 15 08 58.02 +08 56 25.8                i25288711
06489J91J00X  C1995 05 31.28716 15 09 00.14 +08 56 56.2                i25288711
06489J91J00X  C1995 05 31.32987 15 09 22.14 +09 01 37.4          14.5 Rz25289750
06489J91J00X  C1995 05 31.36322 15 09 40.42 +09 05 44.9          14.1 Rz25289750
06489J91J00X  C1995 05 31.37410 15 09 46.44 +09 07 05.5          14.0 Rz25289750
06489J91J00X  C1995 05 31.41387 15 10 13.93 +09 13 14.8                c25270608
06489J91J00X  C1995 05 31.41505 15 10 14.55 +09 13 23.5                c25270608
06489J91J00X  C1995 05 31.41604 15 10 15.08 +09 13 31.2                c25270608
06489J91J00X  C1995 05 31.42050 15 10 17.40 +09 14 04.7                c25270608
06489J91J00X  C1995 05 31.42145 15 10 17.89 +09 14 11.8                c25375608
06489J91J00X  C1995 05 31.42242 15 10 18.39 +09 14 19.1                c25375608
06489J91J00X  C1995 06 01.23411 15 18 48.38 +11 02 15.8                i25288711
06489J91J00X  C1995 06 01.23698 15 18 50.12 +11 02 40.1                i25288711
06489J91J00X 2A1995 06 01.28472 15 19 21.33 +11 09 21.7                 25274675
06489J91J00X 2A1995 06 01.28889 15 19 23.82 +11 09 48.8                 25274675
06489J91J00X 2A1995 06 01.33559 15 19 53.14 +11 16 31.5                 25274675
06489J91J00X 2A1995 06 01.33976 15 19 55.61 +11 17 04.3                 25274675
06489J91J00X  C1995 06 01.41171 15 20 46.88 +11 28 01.6                c25270608
06489J91J00X  C1995 06 01.41282 15 20 47.57 +11 28 11.2                c25270608
